cost, Xtau, XN, Ztau, ZN
0.49653886677619785,4.097,1.0,4.82e-20,1.0
0.4972774096343989,5.543,25.0,2.41,25.0
0.5039064180543806,5.543,1.0,4.82e-20,1.0
0.5005735554840145,5.543,25.0,4.82e-20,1.0
0.49945089369935824,5.543,25.0,2.41,1.0
0.5005735554840147,5.543,25.0,4.82e-20,25.0
0.4971080670500778,5.543,1.0,2.41,1.0
0.49682168069005894,5.543,1.0,2.41,25.0
0.5039064180543806,5.543,1.0,4.82e-20,25.0
0.5000021701885065,4.097,25.0,4.82e-20,1.0
0.49987529596285396,4.097,25.0,2.41,1.0
0.49989052284022406,4.097,25.0,2.41,25.0
0.5000021701885065,4.097,25.0,4.82e-20,25.0
0.5041653237614127,4.097,1.0,2.41,1.0
0.5019084763604607,4.097,1.0,2.41,25.0
0.49653886677619785,4.097,1.0,4.82e-20,25.0
0.7675270894865118,4.82,13.0,1.205,13.0
0.48858630706496176,4.097,13.0,1.205,13.0
0.49242943056669286,4.097,1.0,1.205,13.0
0.49653886677619785,4.097,1.0,4.82e-20,13.0
0.493154282958957,4.097,1.0,1.205,1.0
0.503555954146844,4.097,13.0,4.82e-20,13.0
0.503555954146844,4.097,13.0,4.82e-20,1.0
0.4876422747370993,4.097,13.0,1.205,1.0
0.4997520763630374,4.82,1.0,1.205,13.0
0.4995610914429174,4.82,1.0,4.82e-20,13.0
0.4995610914429174,4.82,1.0,4.82e-20,1.0
0.4984389717160197,4.82,1.0,1.205,1.0
0.1813771174789831,4.82,13.0,4.82e-20,13.0
0.1813771174789831,4.82,13.0,4.82e-20,1.0
0.8086262414294951,4.82,13.0,1.205,1.0
0.4994437696068278,4.458500000000001,7.0,0.6025,7.0
0.5066104875022979,5.543,13.0,1.205,13.0
0.5039977348944138,5.543,25.0,1.205,13.0
0.4983107014781145,5.543,25.0,2.41,13.0
0.5039330885998774,5.543,25.0,1.205,25.0
0.49687593218816883,5.543,13.0,2.41,13.0
0.4962979444524237,5.543,13.0,2.41,25.0
0.5065703900514663,5.543,13.0,1.205,25.0
0.5647225982772719,4.82,25.0,1.205,13.0
0.24324400358509246,4.82,25.0,2.41,13.0
0.2854948348716757,4.82,25.0,2.41,25.0
0.5982218854617218,4.82,25.0,1.205,25.0
0.8976026253304107,4.82,13.0,2.41,13.0
0.9395743114064578,4.82,13.0,2.41,25.0
0.7227919383987917,4.82,13.0,1.205,25.0
0.4996513165640054,5.1815,19.0,1.8075,19.0
0.5088060813927002,5.543,1.0,1.205,13.0
0.5039064180543806,5.543,1.0,4.82e-20,13.0
0.5088582110148874,5.543,1.0,1.205,1.0
0.5029253303341938,5.543,13.0,4.82e-20,13.0
0.5029253303341937,5.543,13.0,4.82e-20,1.0
0.5065928334981675,5.543,13.0,1.205,1.0
0.5153047749140337,5.1815,7.0,0.6025,7.0
0.5005735554840145,5.543,25.0,4.82e-20,13.0
0.5040126823423279,5.543,25.0,1.205,1.0
0.7761332597960577,4.82,25.0,4.82e-20,13.0
0.7761332597960577,4.82,25.0,4.82e-20,1.0
0.5300223526126662,4.82,25.0,1.205,1.0
0.5133650375509562,5.1815,19.0,0.6025,7.0
0.49766499838110556,5.543,13.0,2.41,1.0
0.21640080336141954,4.82,25.0,2.41,1.0
0.8315449674144068,4.82,13.0,2.41,1.0
0.5089959959239786,5.1815,19.0,1.8075,7.0
0.5029253303341938,5.543,13.0,4.82e-20,25.0
