Al,Ap,cost,Xtau,XN,Newtau,NewN,xx,yy,zz,fev,,,,,,
3.701852123,1.178813586,8.11E-05,1.720112952,23,3.097672156,17,-0.004044305,0.00392667,-0.99983778,45576,,39.5625979,52.66042666,,,
2.179967894,1.491684205,0.000366213,2.050069537,8,2.853766197,8,-0.013205032,-0.000952046,-0.999267574,41981,,16.4005563,22.83012957,,,
4.171995697,0.621113018,0.00045603,2.948640843,20,0.329061032,23,-0.020499617,0.003670791,-0.99908794,33792,,58.97281686,7.568403726,,,
2.057425778,1.691625711,0.000484571,2.083841896,8,2.893133371,23,-0.011558834,-0.015061392,-0.999030857,40066,,16.67073517,66.54206754,,,
1.647867753,1.079252561,0.0005053,3.082185824,11,1.325618775,14,-0.003114261,0.000547797,-0.9989894,61617,,33.90404406,18.55866285,,,
0.517073618,0.510069831,0.000514174,0.529959348,10,0.542017354,13,-0.022569914,7.37E-06,-0.998971652,26094,,5.299593477,7.046225596,,,
1.935572245,1.455952605,0.000595905,2.123576361,11,2.951490104,11,-0.00556379,-0.019713395,-0.99880819,40472,,23.35933997,32.46639114,,,
0.621710007,0.538003984,0.000682813,0.520153334,10,0.532922911,13,-0.023579734,5.85E-06,-0.998634374,25823,,5.201533336,6.927997842,,,
1.157045103,0.647380981,0.000786777,0.472610222,10,0.48872257,16,-0.026916095,-6.44E-05,-0.998426446,26616,,4.726102221,7.819561117,,,
2.311120556,0.970948713,0.000825855,2.847933728,11,5.265151439,8,-0.020755494,-0.000249696,-0.99834829,63023,,31.327271,42.12121151,,,
1.822045547,1.619248263,0.000850143,2.135538148,11,2.996633057,5,-0.018825702,0.022202161,-0.998299715,41628,,23.49091962,14.98316529,,,
2.738424291,0.654916986,0.000872389,4.233188213,16,4.233188981,16,-0.021724601,-6.95E-09,-0.998255222,53502,,67.73101141,67.73102369,,,
3.122369101,1.286803468,0.000888054,1.825334925,20,3.301346323,17,0.023887847,-0.010520118,-0.998223891,52006,,36.50669849,56.12288749,,,
2.032302389,1.174153271,0.001049121,3.760905268,14,6.281879029,17,-0.026474071,0.00504735,-0.997901758,37188,,52.65267375,106.7919435,,,
0.845036739,0.479316106,0.001100514,0.508213742,13,0.508212343,13,-0.020405209,-5.03E-09,-0.997798972,25463,,6.606778646,6.606760462,,,
4.691306777,1.208748686,0.001474907,2.794135381,10,1.543318944,22,-0.001222765,-0.007904404,-0.997050187,44276,,27.94135381,33.95301676,,,
4.417897679,1.165364968,0.001533398,2.872535763,20,0.31450247,14,-0.038662556,-0.00555904,-0.996933203,42344,,57.45071526,4.40303458,,,
4.736144612,1.331835577,0.001771001,2.770514448,23,4.014265113,11,-0.012105884,-0.004462754,-0.996457999,48458,,63.7218323,44.15691624,,,
2.296204035,1.568585645,0.002149564,2.026065677,8,2.81302201,11,-0.0334888,-0.009484775,-0.995700872,42122,,16.20852542,30.94324211,,,
0.472982482,1.611576055,0.002216385,3.645130199,11,1.544657032,8,-0.043411349,0.012742649,-0.995567229,39443,,40.09643219,12.35725625,,,
2.024777256,1.452892672,0.002533604,3.778866894,14,6.268608073,5,-0.032504855,-0.007198415,-0.994932793,36703,,52.90413652,31.34304037,,,
2.352514681,1.785022852,0.002911472,4.383911076,11,8.392871654,17,-0.007472938,-0.015957453,-0.994177056,42089,,48.22302183,142.6788181,,,
2.139253748,0.751443661,0.002948754,2.900465118,11,5.399447375,17,-0.002582178,0.001699227,-0.994102492,55405,,31.9051163,91.79060537,,,
1.980903429,1.594276538,0.003579283,2.088242407,11,2.943229391,5,-0.0362374,0.002970086,-0.992841434,40880,,22.97066647,14.71614695,9,,
1.022538173,1.284270077,0.003579716,4.36400086,11,0.488948843,14,-0.053057553,0.003273766,-0.992840568,33322,,48.00400946,6.845283799,,,
1.77179688,0.867073631,0.003753569,0.429774929,10,0.447040348,16,-0.033556866,-0.000154136,-0.992492862,26342,,4.297749289,7.152645573,,,
2.237735948,0.938059508,0.003771333,2.860058708,8,0.420491747,14,-0.042569733,-0.001754828,-0.992457333,57151,,22.88046967,5.886884457,,,
2.992142262,1.339743533,0.004186629,0.363259042,10,0.378903236,19,-0.04503013,-0.000247963,-0.991626741,27340,,3.632590416,7.199161485,,,
1.722077197,0.853478839,0.004955245,3.945042714,25,3.081198612,13,-0.009687025,0.000242417,-0.990089509,41873,,98.62606786,40.05558196,,,
1.351092569,0.845144964,0.005081217,4.171679185,14,0.466304545,23,-0.033846036,-0.000319517,-0.989837567,37372,,58.40350859,10.72500454,,,
2.221973392,1.785822515,0.005180137,3.644335942,11,6.095395931,17,-0.014707871,0.000618669,-0.989639725,46355,,40.08769536,103.6217308,,,
0.891927782,1.780143563,0.005329242,2.435430618,17,0.483706024,23,-0.071613619,-0.011452627,-0.989341516,24212,,41.4023205,11.12523856,,,
0.684267334,0.34829026,0.005974816,0.51821875,16,0.522390742,16,-0.01493863,8.67E-06,-0.988050368,24441,,8.2915,8.358251871,,,
2.164451965,1.105787228,0.006719503,0.414660929,7,0.42694681,10,-0.040900493,3.46E-05,-0.986560993,26526,,2.9026265,4.269468099,,,
1.726254298,1.453648129,0.006829753,4.802767167,11,8.271876046,23,0.027713608,-0.037014545,-0.986340495,56180,,52.83043884,190.2531491,,,
0.706587433,0.515601789,0.008747581,0.51178125,10,0.52640335,13,-0.022072495,6.74E-06,-0.982504838,26277,,5.1178125,6.843243553,,,
3.171923798,0.597224815,0.009390673,4.018461345,14,1.831246559,20,-0.019122729,0.001159015,-0.981218653,61104,,56.25845883,36.62493117,,,
0.98884998,1.327718236,0.009775282,4.383081084,11,0.488413133,14,-0.054728464,0.002213138,-0.980449435,33011,,48.21389192,6.837783856,,,
